"filename", "language", "Python", "HTML", "JavaScript", "pip requirements", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\proyectos\Proyecto-sistem\backend\templates\usuarios\usuario_form.html", "HTML", 0, 139, 0, 0, 0, 0, 0, 9, 148
"d:\proyectos\Proyecto-sistem\backend\templates\usuarios\usuario_list.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 6, 104
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\edificio_confirm_delete.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 3, 35
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\edificio_detail.html", "HTML", 0, 205, 0, 0, 0, 0, 1, 18, 224
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\edificio_form.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 5, 44
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\edificio_list.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 3, 60
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\residente_detail.html", "HTML", 0, 121, 0, 0, 0, 0, 5, 9, 135
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\residente_form.html", "HTML", 0, 107, 0, 0, 0, 0, 0, 16, 123
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\residente_list.html", "HTML", 0, 160, 0, 0, 0, 0, 12, 10, 182
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\tipo_residente_confirm_delete.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\tipo_residente_form.html", "HTML", 0, 30, 0, 0, 0, 0, 0, 3, 33
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\tipo_residente_list.html", "HTML", 0, 60, 0, 0, 0, 0, 0, 3, 63
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\vivienda_baja.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 8, 58
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\vivienda_confirm_delete.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 3, 36
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\vivienda_detail.html", "HTML", 0, 248, 0, 0, 0, 0, 2, 14, 264
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\vivienda_form.html", "HTML", 0, 56, 0, 0, 0, 0, 0, 6, 62
"d:\proyectos\Proyecto-sistem\backend\templates\viviendas\vivienda_list.html", "HTML", 0, 174, 0, 0, 0, 0, 10, 10, 194
"d:\proyectos\Proyecto-sistem\backend\usuarios\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\usuarios\adapters.py", "Python", 25, 0, 0, 0, 0, 0, 23, 11, 59
"d:\proyectos\Proyecto-sistem\backend\usuarios\admin.py", "Python", 29, 0, 0, 0, 0, 0, 0, 3, 32
"d:\proyectos\Proyecto-sistem\backend\usuarios\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\proyectos\Proyecto-sistem\backend\usuarios\forms.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\proyectos\Proyecto-sistem\backend\usuarios\migrations\0001_initial.py", "Python", 51, 0, 0, 0, 0, 0, 1, 7, 59
"d:\proyectos\Proyecto-sistem\backend\usuarios\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\usuarios\models.py", "Python", 20, 0, 0, 0, 0, 0, 0, 6, 26
"d:\proyectos\Proyecto-sistem\backend\usuarios\serializers.py", "Python", 11, 0, 0, 0, 0, 0, 1, 1, 13
"d:\proyectos\Proyecto-sistem\backend\usuarios\tests.py", "Python", 96, 0, 0, 0, 0, 0, 24, 22, 142
"d:\proyectos\Proyecto-sistem\backend\usuarios\urls.py", "Python", 18, 0, 0, 0, 0, 0, 3, 2, 23
"d:\proyectos\Proyecto-sistem\backend\usuarios\validaciones_movil.py", "Python", 4, 0, 0, 0, 0, 0, 1, 2, 7
"d:\proyectos\Proyecto-sistem\backend\usuarios\views.py", "Python", 64, 0, 0, 0, 0, 0, 6, 18, 88
"d:\proyectos\Proyecto-sistem\backend\usuarios\views_api.py", "Python", 44, 0, 0, 0, 0, 0, 1, 11, 56
"d:\proyectos\Proyecto-sistem\backend\viviendas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\viviendas\admin.py", "Python", 31, 0, 0, 0, 0, 0, 0, 8, 39
"d:\proyectos\Proyecto-sistem\backend\viviendas\api.py", "Python", 64, 0, 0, 0, 0, 0, 14, 12, 90
"d:\proyectos\Proyecto-sistem\backend\viviendas\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\proyectos\Proyecto-sistem\backend\viviendas\forms.py", "Python", 73, 0, 0, 0, 0, 0, 11, 15, 99
"d:\proyectos\Proyecto-sistem\backend\viviendas\migrations\0001_initial.py", "Python", 48, 0, 0, 0, 0, 0, 1, 7, 56
"d:\proyectos\Proyecto-sistem\backend\viviendas\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\proyectos\Proyecto-sistem\backend\viviendas\models.py", "Python", 56, 0, 0, 0, 0, 0, 3, 10, 69
"d:\proyectos\Proyecto-sistem\backend\viviendas\templatetags\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\proyectos\Proyecto-sistem\backend\viviendas\templatetags\vivienda_filters.py", "Python", 35, 0, 0, 0, 0, 0, 29, 12, 76
"d:\proyectos\Proyecto-sistem\backend\viviendas\tests.py", "Python", 347, 0, 0, 0, 0, 0, 78, 75, 500
"d:\proyectos\Proyecto-sistem\backend\viviendas\urls.py", "Python", 24, 0, 0, 0, 0, 0, 4, 4, 32
"d:\proyectos\Proyecto-sistem\backend\viviendas\views.py", "Python", 186, 0, 0, 0, 0, 0, 30, 56, 272
"Total", "-", 3296, 6902, 429, 51, 299, 414, 808, 1540, 13739
